"Sheet Type","Opus ID","Client Name",Status,"Billing Modality KPI","Service Type Billing","License Billing","BTRC Letter","Security Coverage","Payment Plan","Other Upstream","S&M KAM","Team Name","Collection KAM","Collection Supervisor","NTTN Billing KAM","IIG/ITC Billing KAM","NTTN Billing Commencement Date","IIG/ITC Billing Commencement Date","Agreement Status","BTRC License Discontinuation Date",Legal,"Service Discontinuation Date"
Live,012107073,"BCL Online Service",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,"Rubaiyat Rahman","Team Jahirul",Hasnat,"CS Azim",Nayeemur,Tawhid,2024-03-27,2024-05-01,Done,2027-05-29,No,
Live,012206872,"BD Networks",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,"Md Mohsin Sujon","Team Sujon",Shohag,"CS Mithun",Nayeemur,Mahbub,,2021-12-31,Done,2024-01-16,No,
Live,012203054,"BDCOM Online Ltd.",Active,Pre+Post-paid,"NTTN, IIG",Nationwide,1st,1,,Yes,"Jahirul Islam","Team Jahirul",Shareef,"CS Tarikul",Ejaz,Aftab,2013-10-21,2016-01-01,Expired,2026-11-11,No,
Live,032303167,"bdHUB Limited",Active,Post-paid,"NTTN, ITC",IIG,,1,,Yes,"Jannatul Nayem","Team Mitul",Azim,"CS Azim",Jubayar,Jubayar,2021-03-18,2016-03-23,Done,2027-04-01,No,
Live,012104655,"Beacon Link",Active,Pre-paid,"IIG, NTTN","Category - A",,0.93073133226096894,,Yes,"Syed Shihab Rahman","Team Abid",Sarwar,"CS Azim",Ejaz,Mahbub,2025-03-16,2021-04-01,Done,2023-05-05,No,
Live,012209338,"Bee Online",Active,Pre-paid,"NTTN, IIG",Divisional,,0.96764750750441353,,Yes,"Rubaet Bin Hasan","Team Jahirul",Naznin,"CS Shehave",Nayeemur,Mahbub,2023-05-22,2022-06-02,Done,2027-06-06,No,
Live,012203446,"Belal IT",Active,Pre-paid,"NTTN, IIG",District,,0.99623609550168268,,No,"Mushfek Arefin","Team Mosabbir",Anik,"CS Tarikul",Ejaz,Mahbub,2022-10-12,2022-10-12,Done,2023-02-24,No,
Live,012104738,"Benapole Net",Active,Pre-paid,"NTTN, IIG","Category - C",,1,,Yes,"Md. Shamrat Shahriar","Team Ryhan",Hasan,"CS Shehave",Ejaz,Mahbub,2021-09-14,2021-09-11,Done,2023-04-06,No,
Live,012104729,"Bengal Broadband Ltd.",Active,Pre-paid,"NTTN, IIG",Nationwide,,1,,Yes,"Sadia Nowshin Farin","Team Talha",Sarwar,"CS Azim",Ejaz,Tawhid,,2021-08-31,0,2023-01-15,No,
Live,022004611,"Bengal Communications Ltd.",Active,Post-paid,NTTN,"Cable TV",,0.99999705345909162,,No,"Abu Talha Shawon","Team Talha",Sarwar,"CS Azim",Tanim,N/A,2020-06-01,,Expired,2024-12-31,No,
Live,012317088,"Best Online",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Sadia Nowshin Farin","Team Talha",Anik,"CS Tarikul",Ejaz,Tawhid,2023-11-01,2023-11-01,Done,2026-11-13,No,
Live,012204474,"Beximco Communications Limited",Active,Post-paid,NTTN,DTH,,1,,Yes,"Md. Fazle Rabbi","Team Sujon",Asif,"CS Shehave",Jubayar,N/A,2019-05-19,,Done,2025-12-31,No,
Live,062203294,"BG Tel Limited",Active,Post-paid,ITC,IGW,,0.88697720467497343,,Yes,"Md Mohsin Sujon","Team Sujon",Mehedi,"CS Azim",N/A,Jubayar,,2017-08-12,0,2027-04-11,No,
Live,012204745,"Bhaluka Broadband Internet Service",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Nubuiya Mahfuz Naimee","Team Fahad",Hasnat,"CS Azim",Waly,Monira,2024-05-01,2024-05-01,Done,2024-01-16,No,
Live,012106873,"Bhola Dot Net",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,"K.M. Mazharul Islam","Team Mosabbir",Ehsanul,"CS Mithun",Tanim,Monira,2024-02-24,2024-02-24,Done,2025-01-20,No,
Live,012208224,"Bhuiyan Telecom",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,"Toukir Azam Chowdhury","Team Sujon",Hasan,"CS Shehave",Nayeemur,Monira,2022-10-19,2022-06-17,Done,2026-03-05,No,
Live,012312944,"Bhurungamari Broadband Network (BBN)",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Md. Shahinur Islam Saju","Team Mosabbir",Asif,"CS Shehave",Waly,Mahbub,2023-02-13,2023-02-13,Done,2027-08-01,No,
Live,012104526,"Bicolpo Computer",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,No,"Md. Shamrat Shahriar","Team Ryhan",Ehsanul,"CS Mithun",Ejaz,Tawhid,2021-06-01,2021-09-23,Done,2024-04-01,No,
Live,012203065,"Bijoy Online Limited",Active,Post-paid,"NTTN, IIG",Nationwide,1st,1,,Yes,"Syed Shihab Rahman","Team Abid",Hasan,"CS Shehave",Tanim,Aftab,2013-10-13,2025-09-04,Done,2023-11-11,No,
Live,012518323,"Binimoy Cyber Net",Active,Pre-paid,IIG,Upazila/Thana,,1,,No,"Md. Mostafizur Rahman","Team Fahad",Hasan,"CS Shehave",N/A,Aftab,,2025-03-21,Done,2027-05-30,No,
Live,012203347,"Bismilla Enterprise",Active,Post-paid,"NTTN, IIG",Divisional,1st,1,,Yes,"Md. Mostafizur Rahman","Team Fahad",Shohag,"CS Mithun",Tanim,Aftab,2018-05-11,2021-07-11,Done,2023-01-27,No,
Live,012317122,"Bismillah IT Solution",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Md. Taher Bin Hossain","Team Israfil",Ehsanul,"CS Mithun",Nayeemur,Monira,2024-02-27,2024-02-27,Done,2023-05-15,No,
Live,012418198,"Bismillah Telecom Service",Active,Pre-paid,NTTN,Nationwide,,1,,Yes,"Rubaiyat Rahman","Team Jahirul",Shohag,"CS Mithun",Ejaz,N/A,2019-09-30,,Done,2023-01-07,No,
Live,012004532,"BIT Network",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,Ashak-A-Mahbub,"Team Abid",Ehsanul,"CS Mithun",Nayeemur,Monira,2020-11-08,2024-06-01,Done,2023-09-15,No,
Live,012203433,"BKB Network",Active,Post-paid,IIG,Divisional,Both,1,Yes,Yes,"Jannatul Nayem","Team Mitul",Naznin,"CS Shehave",Tanim,Aftab,,2020-03-24,Done,2023-01-14,No,
Live,012204573,"Blue Net Communication Jv Limited",Active,Pre+Post-paid,"NTTN, IIG",Nationwide,,1,,Yes,"Tabassom Tamanna Haque","Team Abid",Naznin,"CS Shehave",Ejaz,Monira,2019-12-02,2020-05-31,Done,2024-10-12,No,
Live,012308261,"Bogra Broadband Communication System",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"S.M. Tanvir Rahman","Team Jahirul",Ehsanul,"CS Mithun",Nayeemur,Mahbub,2022-05-15,2022-05-15,Done,2027-07-03,No,
Live,012104652,"Bogra Info. Com",Active,Pre-paid,"NTTN, IIG",District,,1,,No,"S.M. Tanvir Rahman","Team Jahirul",Hasan,"CS Shehave",Waly,Mahbub,2021-04-01,2021-04-01,Done,2028-03-22,No,
Live,012104672,"Boishakhi Satellite & Internet",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,No,"Md. Neamul Islam","Team Abid",Ehsanul,"CS Mithun",Nayeemur,Monira,,2026-04-01,,,No,
Live,012303358,"Bol System",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,No,"S.M. Tanvir Rahman","Team Jahirul",Naznin,"CS Shehave",Tanim,Aftab,2018-04-10,2018-04-10,Done,2023-01-15,No,
Live,012204785,"Bondhon Communication",Active,Pre-paid,"NTTN, IIG","Category - A",,1,,No,"Md. Mustafijur Rahman Shishir","Team Mitul",Shohag,"CS Mithun",,Mahbub,2024-11-01,2024-05-10,Done,2025-01-04,No,
Live,012313004,"Borendro Online",Active,Pre-paid,"NTTN, IIG",District,,1,,No,"Md. Sohel Rana","Team Jahirul",Hasan,"CS Shehave",Tanim,Monira,2023-09-21,2023-09-21,Done,2028-08-03,No,
Live,012203170,"Bot-tola Cyber Net",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,No,"Tabassom Tamanna Haque","Team Abid",Anik,"CS Tarikul",Tanim,Mahbub,2015-03-27,2022-10-31,Done,2027-06-06,No,
Live,012203082,"BRACNet Limited",Active,Post-paid,"NTTN, IIG",Nationwide,1st,1,,Yes,"Partha Pratim Sarkar","Team Jahirul",Sarwar,"CS Azim",Tanim,Aftab,2010-12-15,2017-12-01,Done,2021-11-25,No,
Live,012107075,"Bright Star Network",Active,Pre-paid,IIG,"Thana - ISP",,1,,Yes,"Md. Mahin Alam","Team Abid",Mehedi,"CS Azim",Ejaz,Monira,,2023-11-26,Done,2023-09-12,No,
Live,012103077,"Bright Technologies Limited",Active,Pre-paid,"NTTN, IIG",Nationwide,,1,,No,"Md. Abid Hasan","Team Abid",Hasan,"CS Shehave",Waly,Mahbub,2014-10-01,2024-02-07,Done,2019-08-25,No,
Live,012204582,"Brisk Systems",Active,Pre-paid,"NTTN, IIG",Divisional,1st,1,,Yes,"Tabassom Tamanna Haque","Team Abid",Shareef,"CS Tarikul",Ejaz,Tawhid,,2026-01-08,Done,2028-01-07,No,
Live,012303076,"Broad Band Telecom Services Limited",Active,Post-paid,"NTTN, IIG",Nationwide,1st,1,,Yes,"Md. Mustafijur Rahman Shishir","Team Mitul",Mehedi,"CS Azim",Jubayar,Aftab,,2014-07-07,Done,2026-11-19,No,
Live,012204462,"Brother's ICT Connectivity",Active,Pre-paid,"NTTN, IIG",District,,1,,Yes,"Md.Mominul Islam","Team Fahad",Shareef,"CS Tarikul",Nayeemur,Monira,2022-12-08,2024-12-31,Done,2023-06-30,No,
Live,012418219,"Brothers IT",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"S.M. Tanvir Rahman","Team Jahirul",Khairul,"CS Tarikul",Nayeemur,Monira,2024-06-16,2024-07-16,Done,2023-10-01,No,
Live,012203368,"Brothers Online",Active,Post-paid,"NTTN, IIG",Divisional,1st,1,,No,"SK Sanaullah","Team Ryhan",Mithun,"CS Mithun",Tanim,Aftab,2018-05-01,2018-05-01,Done,2023-03-10,No,
Live,012203063,"BTS Communications (BD) Limited",Active,Post-paid,"NTTN, IIG",Nationwide,1st,0,,Yes,"Nubuiya Mahfuz Naimee","Team Fahad",Sarwar,"CS Azim",Ejaz,Aftab,2012-12-24,2024-11-01,Done,2023-02-24,No,
Live,012203346,"Business Network",Active,Pre-paid,"NTTN, IIG",Nationwide,1st,1,Yes,Yes,"Ryhanul Islam Khan","Team Ryhan",Mithun,"CS Mithun",Waly,Aftab,2018-02-01,2024-05-30,Done,2023-11-28,No,
Live,012312988,"Business Zone Limited",Active,Pre-paid,"NTTN, IIG",Nationwide,1st,1,,Yes,"Md Mohsin Sujon","Team Sujon",Shohag,"CS Mithun",Ejaz,Mahbub,2018-10-03,2024-01-18,Done,2021-12-14,No,
Live,012318151,"C1 Communication",Active,Pre-paid,"NTTN, IIG","Category - C",,1,,No,"Md. Mustafijur Rahman Shishir","Team Mitul",Hasnat,"CS Azim",Waly,Monira,2023-12-21,2023-12-21,Done,2024-03-02,No,
Live,012204677,Cafe-7040,Active,Pre-paid,"NTTN, IIG","Category - C",,1,,Yes,"Md. Shamrat Shahriar","Team Ryhan",Hasan,"CS Shehave",Waly,Monira,2021-06-01,2021-06-01,Done,2023-04-24,No,
Live,012312738,"Central Internet Link",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Rubaet Bin Hasan","Team Jahirul",Asif,"CS Shehave",Waly,Mahbub,2023-03-16,2023-03-16,Done,2023-01-30,No,
Live,012212822,Central@linknet,Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,No,"Mushfek Arefin","Team Mosabbir",Khairul,"CS Tarikul",Nayeemur,Mahbub,,2026-03-14,,,No,
Live,012107077,"Century. Link Network",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Md. Mahin Alam","Team Abid",Shohag,"CS Mithun",Waly,Aftab,2024-11-13,2024-11-13,Done,2024-03-09,No,
Live,012318148,"Chandgaon Net Communication",Active,Pre-paid,IIG,Upazila/Thana,,1,,Yes,"Md. Mezbah Uddin Chy","Team Sakib",Shohag,"CS Mithun",N/A,Monira,,2023-11-28,,,No,
Live,012317099,"Cherry Enterprise",Active,Pre-paid,"NTTN, IIG",District,,1,,No,"Asif Ahamed Dipu","Team Ryhan",Shohag,"CS Mithun",Ejaz,Aftab,2023-11-18,2024-10-15,Done,2027-04-20,No,
Live,012303406,"Chittagong Data Communication",Active,Pre-paid,"NTTN, IIG",Nationwide,,0.61040775192841423,,Yes,"Mosabbir Hussain","Team Mosabbir",Sarwar,"CS Azim",Ejaz,Aftab,2020-07-01,2021-06-25,Done,2023-01-17,No,
Live,012518324,"Chittagong Focus Online",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,Yes,"Md. Mezbah Uddin Chy","Team Sakib",Mehedi,"CS Azim",Nayeemur,Aftab,2025-03-16,2025-03-16,Done,2028-04-24,No,
Live,012103356,"Chittagong Multi Channel Ltd.",Active,Post-paid,"NTTN, IIG",Divisional,Both,1,Yes,Yes,"Tasnim Rahman Nafis","Team Sakib",Shohag,"CS Mithun",Tanim,Aftab,2018-03-13,2018-03-12,Done,2025-12-07,No,
Live,012203120,"Chittagong Online Limited",Active,Post-paid,"NTTN, IIG",Divisional,,1,,Yes,"Md. Sakib Aziz","Team Sakib",Naznin,"CS Shehave",Tanim,Aftab,2013-03-09,2013-03-01,Done,2027-06-23,No,
Live,012104488,"Chittagong Telecom Services Ltd.",Active,Pre-paid,"NTTN, IIG",Divisional,1st,1,,Yes,"Md. Sakib Aziz","Team Sakib",Hasan,"CS Shehave",Tanim,Mahbub,2019-02-05,2023-06-01,Done,2025-10-05,No,
Live,012003051,"Circle Network",Active,Post-paid,"NTTN, IIG",Nationwide,,1,,Yes,"Ryhanul Islam Khan","Team Ryhan",Azim,"CS Azim",Tanim,Aftab,2015-05-25,2016-04-21,Done,2021-02-28,No,
Live,012204782,"City Com Network",Active,Pre-paid,"NTTN, IIG",District,,1,,Yes,"Rubaet Bin Hasan","Team Jahirul",Hasan,"CS Shehave",Ejaz,Mahbub,2022-11-01,2021-10-01,Done,2027-07-24,No,
Live,012204844,"City Link Communication",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,Yes,"Md. Mahin Alam","Team Abid",Mehedi,"CS Azim",Waly,Aftab,2025-01-01,2025-01-01,Done,2023-07-15,No,
Live,012209565,"City Net Communication",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Rubaiyat Rahman","Team Jahirul",Asif,"CS Shehave",Waly,Mahbub,2023-10-23,2023-02-13,Done,2023-05-05,No,
Live,011803452,"City Online Limited",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,"Abul Khayer Md. Fahad","Team Fahad",Hasan,"CS Shehave",Nayeemur,Monira,2023-09-01,2023-09-01,Done,2026-01-04,No,
Live,012318149,"Click Earth Online",Active,Pre-paid,"NTTN, IIG",District,,1,,Yes,"Md. Sakib Aziz","Team Sakib",Shohag,"CS Mithun",Waly,Monira,2023-11-28,2023-11-27,Done,2027-09-21,No,
Live,012003362,"Cnet Broadband",Active,Post-paid,"NTTN, IIG",Divisional,,1,,Yes,"Md. Shamrat Shahriar","Team Ryhan",Asif,"CS Shehave",Ejaz,Mahbub,2018-05-09,2022-06-30,Done,2023-06-02,No,
Live,012204619,"Cogent Broadband",Active,Post-paid,"NTTN, IIG",Divisional,,1,,Yes,"SK Sanaullah","Team Ryhan",Tarikul,"CS Tarikul",Waly,Aftab,2020-11-01,2022-04-02,Done,2026-10-27,No,
Live,012004499,"Combined Soft",Active,Post-paid,"NTTN, IIG",Divisional,1st,1,,Yes,"Mosabbir Hussain","Team Mosabbir",Mehedi,"CS Azim",Waly,Monira,2019-02-28,2019-02-28,Done,2023-12-19,No,
Live,012212855,"Comfort Solutions",Active,Pre-paid,NTTN,District,,1,,Yes,"Rubaet Bin Hasan","Team Jahirul",Tarikul,"CS Tarikul",Waly,,2017-04-01,2016-07-05,Done,2026-05-17,No,
Live,011903099,"Computer Complex Network",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,No,"Md. Shamrat Shahriar","Team Ryhan",Ehsanul,"CS Mithun",Ejaz,Aftab,2017-04-01,2016-07-05,Done,2026-05-17,No,
Live,012204759,"Computer Future",Active,Pre-paid,"NTTN, IIG","Category - C",,1,,Yes,"Md. Mostafizur Rahman","Team Fahad",Anik,"CS Tarikul",Waly,Mahbub,2022-07-21,2021-09-26,Done,2023-07-22,No,
Live,012518363,"Connect 3",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,Yes,"Md. Sakib Aziz","Team Sakib",Shehave,"CS Shehave",Nayeemur,Monira,,2025-12-31,,,No,
Live,112003074,"Coronet Corporation Ltd",Active,Post-paid,NTTN,IIG,,#DIV/0!,,Yes,"MD. Abu  Sayeed","Team Mitul",Mithun,"CS Mithun",Waly,N/A,,,Done,2027-04-11,No,
Live,012203154,"Cosmopolitan Communications Limited",Active,Post-paid,"NTTN, IIG",Nationwide,,1,Yes,No,"Md.Noor Hossain","Team Israfil",Khairul,"CS Tarikul",Waly,Aftab,2027-06-02,2017-06-02,Done,2026-12-17,No,
Live,012418192,"Cox Link IT",Active,Pre-paid,"NTTN, IIG",Divisional,,0.73557863513619637,,Yes,"Md Mohsin Sujon","Team Sujon",Hasnat,"CS Azim",Tanim,Monira,2024-03-19,2024-03-19,Done,2024-03-23,No,
Live,012209500,CROWN,Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Rubaiyat Rahman","Team Jahirul",Ehsanul,"CS Mithun",Ejaz,Mahbub,2022-09-01,2022-09-01,Done,2027-03-21,No,
Live,012318152,"CTG NET",Active,Pre-paid,IIG,"Thana - ISP",,1,,No,"Tasnim Rahman Nafis","Team Sakib",Hasnat,"CS Azim",N/A,Monira,,2023-11-30,Done,2023-07-15,No,
Live,012104671,"Cyber Hub Ltd",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,0.9289906488730274,,Yes,"Md Mohsin Sujon","Team Sujon",Hasnat,"CS Azim",Waly,Monira,2024-11-05,2024-03-01,Done,2027-02-01,No,
Live,012209555,"Cyber Link Computer",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,1,,No,"Asif Ahamed Dipu","Team Ryhan",Shehave,"CS Shehave",Ejaz,Monira,,2025-10-01,,,No,
Live,012313007,"Cyber Net Communication",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Md. Mahin Alam","Team Abid",Shohag,"CS Mithun",Waly,Mahbub,2014-06-10,2023-06-01,Done,2023-10-22,No,
Live,012203383,"Cyber Solution BD",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,Yes,"Md.Mominul Islam","Team Fahad",Hasan,"CS Shehave",Nayeemur,Monira,,2025-10-10,,,No,
Live,012207126,"D Net Service",Active,Post-paid,"NTTN, IIG","Category - C",,0.681234838372476,,Yes,"Md. Mahin Alam","Team Abid",Khairul,"CS Tarikul",Waly,Monira,2024-03-08,2023-09-01,Done,2027-01-10,No,
Live,012518326,"D.I.N Communication",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Sadia Nowshin Farin","Team Talha",Mehedi,"CS Azim",Ejaz,Monira,,2025-06-30,WIP,2027-04-06,No,
Live,012203118,"Daffodil Online Limited",Active,Post-paid,"NTTN, IIG",Nationwide,,1,,Yes,"Jannatul Nayem","Team Mitul",Naznin,"CS Shehave",Nayeemur,Monira,2018-09-18,2021-08-05,Done,2026-10-01,No,
Live,012312904,Daniel-24,Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Umaya Afrin Priya","Team Mitul",Naznin,"CS Shehave",Nayeemur,Tawhid,2023-01-30,2023-01-30,Done,2027-05-25,No,
Live,012312952,"Dayan Net",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Jibeshwar Purakayastha","Team Talha",Hasnat,"CS Azim",Ejaz,Mahbub,2023-03-01,2023-03-01,Done,2028-01-15,No,
Live,012003329,"DB Technologies",Active,Pre-paid,NTTN,Nationwide,,1,,Yes,"Abu Talha Shawon","Team Talha",Shohag,"CS Mithun",Ejaz,N/A,2018-12-31,,Done,2026-11-21,No,
Live,012209646,"Decent Network",Active,Pre-paid,"IIG, NTTN","Thana - ISP",,1,,Yes,"Rubaiyat Rahman","Team Jahirul",Shareef,"CS Tarikul",Ejaz,Mahbub,,2025-05-08,Done,2026-10-30,No,
Live,112303301,"Delta Infocom Ltd.",Active,Post-paid,"NTTN, ITC",IIG,,1,,No,"Jahirul Islam","Team Jahirul",Shareef,"CS Tarikul",Jubayar,Jubayar,2021-03-01,2024-08-01,Done,2027-04-12,No,
